,1,2
Population 462,186.0,
Population 463,849.0,1.0
Population 464,22.0,
Population 465,62.0,
Population 466,720.0,3.0
Population 467,149.0,
Population 468,74.0,
Population 469,518.0,
Population 470,61.0,
Population 471,80.0,1.0
Population 472,61.0,
Population 473,262.0,1.0
Population 474,91.0,1.0
Population 475,71.0,
Population 476,178.0,
Population 477,58.0,
Population 478,133.0,
Population 479,196.0,
Population 480,150.0,
Population 481,53.0,2.0
Population 482,45.0,
Population 483,37.0,4.0
Population 484,3958.0,8.0
Population 485,50.0,
Population 486,168.0,
Population 487,22.0,
Population 488,1352.0,
Population 489,55.0,
Population 490,34.0,
Population 491,1140.0,1.0
Population 492,15.0,
Population 493,12177.0,20.0
Population 494,134.0,
Population 495,860.0,
Population 496,111.0,
Population 497,519.0,
Population 498,19.0,
Population 499,26.0,
Population 500,44.0,1.0
Population 501,25.0,
Population 502,27.0,
Population 503,134.0,
Population 504,790.0,
Population 505,53.0,
Population 506,33.0,
Population 507,95.0,
Population 508,24.0,
Population 509,578.0,
Population 510,91.0,
Population 511,629.0,
Population 512,73.0,
Population 513,132.0,
Population 514,109.0,
Population 515,131.0,
Population 516,45.0,
Population 517,50.0,
Population 518,40.0,
Population 519,212.0,1.0
Population 520,38.0,
Population 521,335.0,
Population 522,83.0,
Population 523,72.0,2.0
Population 524,60.0,
Population 525,356.0,
Population 526,80.0,
Population 527,31.0,
Population 528,15.0,
Population 529,37.0,
Population 530,18.0,
Population 531,295.0,
Population 532,1473.0,1.0
Population 533,59.0,
Population 534,44.0,
Population 535,62.0,
Population 536,36.0,
Population 537,76.0,
Population 538,93.0,1.0
Population 539,91.0,
Population 540,174.0,
Population 541,287.0,
Population 542,46.0,
Population 543,49.0,
Population 544,421.0,3.0
Population 545,136.0,
Population 546,2164.0,3.0
Population 547,94.0,
Population 548,34.0,
Population 549,14.0,
Population 550,57.0,
Population 551,131.0,
Population 552,117.0,
Population 553,31.0,
Population 554,59.0,
Population 555,210.0,
Population 556,582.0,
Population 557,89.0,
Population 558,76.0,
Population 559,101.0,
Population 560,39.0,
Population 561,178.0,
Population 562,82.0,
Population 563,119.0,
Population 564,34.0,
Population 565,88.0,
Population 566,599.0,2.0
Population 567,58.0,
Population 568,39.0,
Population 569,208.0,
Population 570,179.0,
Population 571,37.0,
Population 572,89.0,1.0
Population 573,51.0,
Population 574,809.0,1.0
Population 575,35.0,
Population 576,46.0,
Population 577,44.0,
Population 578,208.0,
Population 579,103.0,
Population 580,131.0,
Population 581,58.0,
Population 582,239.0,
Population 583,43.0,
Population 584,49.0,
Population 585,50.0,
Population 586,70.0,1.0
Population 587,48.0,
Population 588,509.0,
Population 589,438.0,
Population 590,89.0,
Population 591,58.0,
Population 592,52.0,
Population 593,97.0,
Population 594,210.0,
Population 595,33.0,
Population 596,40.0,
Population 597,35.0,
Population 598,81.0,
Population 599,137.0,
Population 600,109.0,
Population 601,532.0,1.0
