,1,2,3,4,5
Population 283,135033.0,1958.0,,,
Population 284,139688.0,1283.0,,,
Population 285,319809.0,3375.0,3.0,,
Population 286,582306.0,12405.0,184.0,,
Population 287,468133.0,8910.0,30.0,,
Population 288,345355.0,2292.0,5.0,,
Population 289,281781.0,5464.0,15.0,,
Population 290,139888.0,1209.0,4.0,,
Population 291,194233.0,31345.0,174.0,,
Population 292,685797.0,9901.0,32.0,,
Population 293,439875.0,125123.0,1739.0,,
Population 294,190826.0,119040.0,507.0,,
Population 295,299814.0,10829.0,11.0,,
Population 296,586387.0,23759.0,74.0,,
Population 297,347966.0,13189.0,74.0,,
Population 298,235551.0,1518.0,1.0,,
Population 299,320434.0,18485.0,112.0,,
Population 300,622655.0,9771.0,74.0,,
Population 301,784308.0,9220.0,56.0,,
Population 302,159346.0,9951.0,13.0,,
Population 303,248514.0,27364.0,156.0,,
Population 304,134896.0,6364.0,93.0,,
Population 305,524271.0,13642.0,283.0,,
Population 306,548924.0,7765.0,39.0,,
Population 307,965996.0,16824.0,105.0,,
Population 308,241831.0,6925.0,6.0,,
Population 309,250863.0,3100.0,9.0,,
Population 310,435432.0,6904.0,11.0,,
Population 311,291501.0,97468.0,491.0,,
Population 312,200463.0,52450.0,266.0,,
Population 313,240077.0,2780.0,5.0,,
Population 314,244464.0,105582.0,1101.0,,
Population 315,581058.0,12827.0,44.0,,
Population 316,514175.0,6724.0,5.0,,
Population 317,372794.0,7867.0,43.0,,
Population 318,74429.0,259383.0,1529.0,6.0,
Population 319,558774.0,14132.0,39.0,,
Population 320,538974.0,5804.0,13.0,,
Population 321,306570.0,4926.0,34.0,,
Population 322,841393.0,23691.0,302.0,,
Population 323,106439.0,582.0,,,
Population 324,450741.0,4162.0,33.0,,
Population 325,515230.0,9284.0,12.0,,
Population 326,73386.0,21538.0,61.0,,
Population 327,303327.0,4725.0,11.0,,
Population 328,544412.0,4522.0,,,
Population 329,174176.0,1304.0,10.0,,
Population 330,300590.0,4412.0,9.0,,
Population 331,440576.0,23490.0,375.0,6.0,
Population 332,579348.0,12502.0,108.0,,
Population 333,152929.0,17281.0,376.0,,
Population 334,155134.0,921.0,,,
Population 335,893934.0,24652.0,199.0,4.0,
Population 336,309303.0,6781.0,58.0,,
Population 337,657111.0,10887.0,92.0,,
Population 338,795577.0,32923.0,11139.0,72.0,
Population 339,356897.0,8986.0,18.0,,
Population 340,113438.0,2526.0,6.0,,
Population 341,839798.0,32770.0,113.0,,
Population 342,967200.0,28756.0,116.0,,
Population 343,281353.0,2850.0,4.0,,
Population 344,473409.0,7644.0,29.0,,
Population 345,585821.0,16117.0,497.0,1.0,
Population 346,192592.0,2245.0,1.0,,
Population 347,769614.0,9827.0,53.0,,
Population 348,289036.0,4479.0,6.0,,
Population 349,171599.0,2579.0,,,
Population 350,197988.0,6457.0,154.0,,
Population 351,843315.0,56022.0,177.0,,
Population 352,921038.0,42828.0,574.0,3.0,
Population 353,404330.0,5479.0,4.0,,
Population 354,897993.0,11188.0,43.0,,
Population 355,108752.0,9741.0,6.0,,
Population 356,377935.0,6838.0,9.0,,
Population 357,821646.0,8671.0,112.0,1.0,
Population 358,932107.0,64983.0,704.0,,
Population 359,299520.0,10623.0,44.0,2.0,
Population 360,793827.0,71200.0,435.0,,
Population 361,334045.0,188373.0,878.0,,
Population 362,112005.0,1154.0,,,
Population 363,834686.0,18148.0,104.0,,
Population 364,731127.0,53607.0,278.0,,
Population 365,795124.0,10318.0,7.0,,
Population 366,883452.0,54037.0,127.0,1.0,
Population 367,372136.0,38784.0,146.0,,
Population 368,75075.0,2639.0,5.0,,
Population 369,648134.0,82279.0,331.0,,
Population 370,175543.0,16599.0,52.0,,
Population 371,652620.0,9401.0,45.0,,
Population 372,604796.0,9860.0,23.0,,
Population 373,368801.0,15826.0,115.0,,
Population 374,349175.0,8711.0,26.0,,
Population 375,561065.0,82738.0,894.0,18.0,
Population 376,88778.0,1763.0,,,
Population 377,398760.0,537110.0,9807.0,18.0,
Population 378,202594.0,2267.0,6.0,,
Population 379,188487.0,2390.0,,,
Population 380,628864.0,14599.0,313.0,,
Population 381,146103.0,17640.0,59.0,,
Population 382,851517.0,11078.0,11.0,,
Population 383,406573.0,23155.0,11087.0,22.0,3.0
Population 384,900470.0,11891.0,57.0,,
Population 385,244268.0,9220.0,,,
Population 386,157582.0,6714.0,11.0,,
Population 387,127207.0,1683.0,18.0,,
Population 388,186816.0,4161.0,25.0,,
Population 389,189702.0,18841.0,191.0,,
Population 390,369161.0,3352.0,35.0,,
Population 391,752239.0,7701.0,390.0,,
Population 392,838281.0,20215.0,115.0,,
Population 393,822235.0,55738.0,387.0,,
Population 394,328534.0,262190.0,3778.0,6.0,
Population 395,923387.0,13102.0,71.0,,
Population 396,323278.0,11519.0,39.0,,
Population 397,646416.0,14476.0,50.0,,
Population 398,365706.0,1913.0,8.0,,
Population 399,961820.0,37999.0,175.0,,
Population 400,70627.0,679.0,,,
Population 401,349071.0,14994.0,55.0,,
Population 402,886735.0,60868.0,320.0,,
Population 403,125274.0,1844.0,7.0,,
Population 404,316162.0,5385.0,19.0,,
Population 405,284354.0,4503.0,1.0,,
Population 406,309268.0,4228.0,15.0,,
Population 407,134231.0,523.0,,,
Population 408,181708.0,3278.0,16.0,1.0,
Population 409,734205.0,17406.0,47.0,,
Population 410,112553.0,65068.0,360.0,,
Population 411,357455.0,5898.0,10.0,,
Population 412,136496.0,2126.0,2.0,,
Population 413,199881.0,1030.0,,,
Population 414,79685.0,910.0,7.0,,
