,1,2,3
Population 431,46.0,,
Population 432,1799.0,2.0,
Population 433,452.0,,
Population 434,24.0,,
Population 435,52.0,,
Population 436,6960.0,15.0,
Population 437,22.0,,
Population 438,129.0,,
Population 439,1214.0,1.0,
Population 440,25.0,,
Population 441,62.0,,
Population 442,187.0,1.0,
Population 443,156.0,,
Population 444,86.0,,
Population 445,194.0,,
Population 446,434.0,,
Population 447,915.0,,
Population 448,13187.0,51.0,
Population 449,211.0,,
Population 450,236.0,,
Population 451,65.0,,
Population 452,199.0,,
Population 453,38.0,,
Population 454,3755.0,6.0,
Population 455,65.0,,
Population 456,13977.0,24.0,
Population 457,27.0,,
Population 458,9662.0,47.0,
Population 459,170.0,,
Population 460,11761.0,101.0,1.0
Population 461,632.0,5.0,
Population 462,170.0,12.0,
Population 463,63.0,,
Population 464,200.0,,
Population 465,12492.0,25.0,
Population 466,16.0,,
Population 467,20.0,,
Population 468,170.0,,
Population 469,58.0,,
Population 470,4915.0,10.0,
Population 471,13547.0,21.0,
Population 472,40.0,,
Population 473,200.0,,
Population 474,2285.0,,
Population 475,4569.0,12.0,
Population 476,106.0,,
Population 477,31.0,,
Population 478,17.0,,
Population 479,30.0,,
Population 480,283.0,,
Population 481,281.0,,
Population 482,127.0,,
Population 483,26.0,,
Population 484,259.0,,
Population 485,26.0,,
Population 486,35.0,,
Population 487,8036.0,10.0,
Population 488,75.0,,
Population 489,11.0,,
Population 490,27.0,,
Population 491,71.0,,
Population 492,21.0,,
Population 493,602.0,1.0,
Population 494,13435.0,414.0,
Population 495,13054.0,166.0,
Population 496,449.0,,
Population 497,204.0,,
Population 498,26.0,,
Population 499,6866.0,6.0,
Population 500,30.0,,
Population 501,23.0,,
Population 502,59.0,,
Population 503,34.0,,
Population 504,974.0,,
Population 505,42.0,,
Population 506,233.0,,
Population 507,11027.0,88.0,
Population 508,23.0,,
Population 509,55.0,,
Population 510,44.0,,
Population 511,665.0,,
Population 512,220.0,,
Population 513,131.0,,
Population 514,103.0,,
Population 515,1767.0,5.0,
Population 516,177.0,2.0,
Population 517,50.0,,
Population 518,221.0,1.0,
Population 519,2059.0,3.0,
Population 520,133.0,,
Population 521,110.0,,
Population 522,33.0,,
Population 523,331.0,,
Population 524,33.0,,
Population 525,53.0,,
Population 526,107.0,1.0,
Population 527,778.0,,
Population 528,10008.0,42.0,1.0
Population 529,1301.0,5.0,
Population 530,22.0,,
Population 531,59.0,,
Population 532,151.0,,
Population 533,78.0,,
Population 534,573.0,,
Population 535,36.0,,
Population 536,90.0,,
Population 537,730.0,3.0,
Population 538,36.0,,
Population 539,55.0,,
Population 540,24.0,,
Population 541,21.0,,
Population 542,11664.0,48.0,
Population 543,22.0,,
Population 544,4278.0,8.0,
Population 545,41.0,,
Population 546,4494.0,5.0,
