,MaxAFs,H,total_m,rec_errors
33,0.00035534077180015633,0.9066666666666666,6.0,0.02694650399760068
34,0.00042640892616018763,0.9056122448979592,5.0,0.0008118069076381573
35,0.0011370904697605004,0.8185255198487713,5.0,0.0530812010875632
36,0.004690498187762064,0.8146031746031746,14.0,0.3827673731814887
37,0.0012081586241205315,0.8211805555555555,7.0,0.3635480014471115
38,0.02530026295217113,0.13555208638684568,6.0,0.02742561048682468
39,0.018122379361807973,0.26963904206888045,5.0,0.0008118069076381573
40,0.0009949541610404379,0.8761111111111111,9.0,0.29741604599656846
41,0.0005685452348802502,0.7922437673130194,1.0,0.0008118069076381573
42,0.0025584535569611257,0.8221530174227759,11.0,0.7663465532706155
43,0.00035534077180015633,0.9189189189189189,8.0,0.01266192789921572
44,0.0008528178523203753,0.8575602629656683,8.0,0.0530812010875632
45,0.0011370904697605004,0.8744613616776789,11.0,0.2589773025278159
46,0.009736337147324284,0.44953173777315303,9.0,0.23365344672938448
47,0.0017056357046407505,0.8518294891921265,7.0,0.2589773025278159
48,0.0011370904697605004,0.8494897959183673,8.0,0.23365344672938448
49,0.015421789496126785,0.33009214766238903,8.0,0.23365344672938448
50,0.0019899083220808757,0.833648393194707,9.0,0.23365344672938448
51,0.0002842726174401251,0.9085872576177285,2.0,0.0008118069076381573
52,0.0009949541610404379,0.9011570247933884,12.0,0.23365344672938448
53,0.0007106815436003127,0.9017283950617284,8.0,0.0008118069076381573
54,0.005898656811882595,0.6190240031739735,5.0,0.0008118069076381573
55,0.0030559306374813447,0.6211419753086421,5.0,0.23365344672938448
56,0.07781962902423424,0.1749373627222659,16.0,0.23365344672938448
57,0.00021320446308009382,0.9270833333333334,5.0,0.0008118069076381573
58,0.00035534077180015633,0.9359504132231405,8.0,0.0008118069076381573
59,0.0020609764764409066,0.7786982248520711,8.0,0.0008118069076381573
60,0.00021320446308009382,0.8827160493827161,6.0,0.23365344672938448
61,0.0014213630872006253,0.8367630349703321,7.0,0.2463153746286002
62,0.002416317248241063,0.8622587125513145,10.0,0.06295079235954759
63,0.0019188401677208444,0.8189867905356365,9.0,0.24462465851566328
64,0.002345249093881032,0.7875432525951558,8.0,0.0008118069076381573
65,0.001066022315400469,0.6913265306122449,3.0,0.15602925180768956
66,0.0002842726174401251,0.8960302457466919,7.0,0.23365344672938448
67,0.0017056357046407505,0.8337950138504155,9.0,0.23365344672938448
68,0.01684315258332741,0.31424432178733497,6.0,0.23311871254511685
69,0.0005685452348802502,0.9035916824196597,8.0,0.02451204889079328
70,0.1997725819060479,0.01828041304049266,7.0,0.1703138279060754
71,0.0007106815436003127,0.8938271604938272,6.0,0.0008118069076381573
72,0.000781749697960344,0.8768590124925639,8.0,0.4681187003664071
73,0.0028427261744012507,0.7805522526093275,10.0,0.08002770508516477
74,0.0017767038590007817,0.81945889698231,8.0,0.0008118069076381573
75,0.0011370904697605004,0.8855555555555555,7.0,0.0008118069076381573
76,0.0014924312415606567,0.7149810708491076,4.0,0.23365344672938448
77,0.000781749697960344,0.88,7.0,0.0008118069076381573
78,0.005898656811882595,0.7093425605536333,10.0,0.23365344672938448
79,0.005330111577002345,0.7444375222499111,9.0,0.7663465532706155
80,0.03745291734773648,0.17887719795467694,10.0,0.5318812996335929
81,0.000781749697960344,0.7633769322235434,4.0,0.3618572853341746
82,0.0014924312415606567,0.920332936979786,18.0,0.29248125036057804
83,0.006751474664202971,0.552854938271605,8.0,0.0008118069076381573
84,0.000781749697960344,0.9100765306122449,10.0,0.0008118069076381573
