,1,2,3
Population 422,50.0,,
Population 423,75.0,,
Population 424,33.0,,
Population 425,121.0,2.0,
Population 426,970.0,3.0,
Population 427,22.0,,
Population 428,546.0,,
Population 429,19.0,,
Population 430,36.0,,
Population 431,140.0,,
Population 432,85.0,,
Population 433,101.0,,
Population 434,47.0,,
Population 435,203.0,2.0,
Population 436,67.0,,
Population 437,46.0,,
Population 438,18.0,,
Population 439,83.0,,
Population 440,219.0,,
Population 441,12126.0,103.0,
Population 442,49.0,,
Population 443,83.0,,
Population 444,81.0,,
Population 445,71.0,,
Population 446,32.0,,
Population 447,77.0,,
Population 448,105.0,4.0,
Population 449,22.0,,
Population 450,75.0,,
Population 451,3656.0,4.0,
Population 452,227.0,1.0,
Population 453,327.0,1.0,
Population 454,44.0,,
Population 455,4184.0,17.0,
Population 456,35.0,,
Population 457,28.0,,
Population 458,344.0,,
Population 459,176.0,,
Population 460,1309.0,,
Population 461,280.0,,
Population 462,125.0,,
Population 463,38.0,,
Population 464,74.0,,
Population 465,188.0,,
Population 466,6021.0,6.0,
Population 467,3406.0,21.0,
Population 468,633.0,3.0,
Population 469,1550.0,19.0,
Population 470,31.0,3.0,
Population 471,193.0,,
Population 472,46.0,,
Population 473,26.0,,
Population 474,40.0,,
Population 475,37.0,,
Population 476,12.0,,
Population 477,60.0,,
Population 478,39.0,,
Population 479,364.0,,
Population 480,41.0,,
Population 481,27.0,,
Population 482,12945.0,557.0,1.0
Population 483,64.0,,
Population 484,68.0,,
Population 485,13557.0,368.0,
Population 486,2550.0,5.0,
Population 487,1757.0,5.0,
Population 488,69.0,,
Population 489,74.0,,
Population 490,173.0,,
Population 491,143.0,1.0,
Population 492,1450.0,1.0,
Population 493,35.0,,
Population 494,170.0,433.0,6.0
Population 495,804.0,1.0,
Population 496,20.0,,
Population 497,11179.0,20.0,
Population 498,36.0,,
Population 499,193.0,1.0,
Population 500,86.0,,
Population 501,59.0,,
Population 502,787.0,,
Population 503,112.0,,
Population 504,78.0,,
Population 505,186.0,2.0,
Population 506,110.0,,
Population 507,39.0,,
Population 508,34.0,,
Population 509,147.0,,
Population 510,35.0,,
Population 511,1787.0,1.0,
Population 512,8709.0,39.0,
Population 513,52.0,,
Population 514,89.0,,
Population 515,15.0,,
Population 516,58.0,,
Population 517,784.0,1.0,
Population 518,100.0,,
Population 519,20.0,,
Population 520,43.0,,
Population 521,47.0,,
Population 522,91.0,,
Population 523,460.0,2.0,
Population 524,837.0,77.0,
Population 525,30.0,,
Population 526,30.0,,
Population 527,480.0,,
Population 528,31.0,,
Population 529,133.0,,
Population 530,21.0,,
Population 531,4984.0,144.0,
Population 532,54.0,,
Population 533,31.0,,
Population 534,165.0,,
Population 535,435.0,2.0,
Population 536,249.0,,
Population 537,47.0,,
Population 538,18.0,,
Population 539,81.0,,
Population 540,631.0,,
Population 541,66.0,,
Population 542,8896.0,102.0,
Population 543,23.0,,
Population 544,151.0,,
Population 545,566.0,,
Population 546,98.0,,
Population 547,56.0,,
Population 548,98.0,,
Population 549,56.0,,
Population 550,17.0,,
Population 551,1172.0,6.0,
Population 552,246.0,,
Population 553,64.0,,
Population 554,17.0,,
Population 555,101.0,,
Population 556,109.0,,
Population 557,92.0,,
Population 558,74.0,,
Population 559,81.0,,
Population 560,64.0,,
Population 561,77.0,,
Population 562,71.0,,
Population 563,216.0,,
Population 564,25.0,,
Population 565,103.0,,
Population 566,151.0,,
Population 567,19.0,,
Population 568,13738.0,110.0,
Population 569,43.0,,
Population 570,49.0,,
Population 571,893.0,12.0,
Population 572,1601.0,2.0,
Population 573,31.0,,
Population 574,1356.0,3.0,
Population 575,13316.0,170.0,1.0
Population 576,278.0,,
Population 577,1164.0,7.0,
Population 578,5712.0,18.0,
Population 579,135.0,,
Population 580,33.0,,
Population 581,53.0,,
Population 582,424.0,75.0,
Population 583,227.0,,
Population 584,5870.0,21.0,
Population 585,72.0,,
Population 586,169.0,,
Population 587,5266.0,19.0,
Population 588,10.0,,
Population 589,28.0,,
Population 590,359.0,,
Population 591,55.0,,
Population 592,29.0,,
Population 593,68.0,,
Population 594,6709.0,11.0,
Population 595,57.0,,
Population 596,28.0,,
Population 597,5727.0,11.0,
Population 598,58.0,,
Population 599,26.0,,
Population 600,399.0,,
Population 601,333.0,,
Population 602,714.0,3.0,
Population 603,262.0,,
Population 604,35.0,,
Population 605,277.0,2.0,
Population 606,24.0,,
Population 607,42.0,,
Population 608,118.0,,
Population 609,204.0,,
Population 610,51.0,,
Population 611,370.0,,
Population 612,82.0,,
Population 613,4427.0,36.0,
Population 614,122.0,,
Population 615,125.0,,
Population 616,3293.0,7.0,
Population 617,63.0,,
Population 618,35.0,1.0,
Population 619,3504.0,13.0,
Population 620,1560.0,,
Population 621,957.0,3.0,
Population 622,432.0,1.0,
Population 623,13.0,,
Population 624,27.0,,
Population 625,61.0,,
Population 626,8043.0,439.0,1.0
Population 627,59.0,,
Population 628,57.0,,
Population 629,127.0,,
Population 630,398.0,,
Population 631,184.0,1.0,
Population 632,39.0,,
Population 633,280.0,,
Population 634,23.0,,
Population 635,12973.0,35.0,
Population 636,190.0,,
Population 637,53.0,,
Population 638,726.0,,
Population 639,11.0,,
Population 640,53.0,,
Population 641,40.0,,
Population 642,766.0,2.0,
Population 643,517.0,2.0,
Population 644,4963.0,7.0,
Population 645,73.0,,
Population 646,205.0,,
Population 647,32.0,,
Population 648,218.0,,
Population 649,85.0,,
Population 650,34.0,,
Population 651,40.0,,
Population 652,28.0,,
