,1,2,3,4
Population 400,12795.0,59.0,,
Population 401,15308.0,104.0,,
Population 402,38705.0,293.0,,
Population 403,12383.0,21.0,,
Population 404,9072.0,25.0,,
Population 405,10424.0,39.0,,
Population 406,71422.0,329.0,,
Population 407,14950.0,54.0,,
Population 408,48983.0,395.0,,
Population 409,15157.0,77.0,,
Population 410,18400.0,54.0,,
Population 411,13838.0,86.0,,
Population 412,11576.0,34.0,,
Population 413,12586.0,70.0,,
Population 414,16211.0,205.0,,
Population 415,13264.0,72.0,,
Population 416,10792.0,25.0,,
Population 417,11870.0,19.0,,
Population 418,20071.0,248.0,,
Population 419,10210.0,11.0,,
Population 420,264106.0,1882.0,20.0,
Population 421,10041.0,36.0,,
Population 422,13548.0,69.0,,
Population 423,11058.0,74.0,,
Population 424,11663.0,19.0,,
Population 425,12033.0,31.0,,
Population 426,64894.0,384.0,,
Population 427,8145.0,6.0,,
Population 428,10823.0,133.0,,
Population 429,177260.0,4092.0,22.0,
Population 430,28803.0,823.0,1.0,
Population 431,17009.0,43.0,,
Population 432,11065.0,24.0,,
Population 433,66554.0,518.0,,
Population 434,14086.0,45.0,,
Population 435,11651.0,39.0,,
Population 436,14028.0,89.0,,
Population 437,12907.0,14.0,,
Population 438,15587.0,51.0,,
Population 439,10435.0,10.0,,
Population 440,22937.0,241.0,,
Population 441,13779.0,44.0,,
Population 442,14588.0,104.0,,
Population 443,11137.0,82.0,1.0,
Population 444,8358.0,74.0,,
Population 445,19043.0,123.0,,
Population 446,53740.0,276.0,,
Population 447,11665.0,19.0,,
Population 448,27385.0,63.0,,
Population 449,37047.0,289.0,1.0,
Population 450,232786.0,1704.0,,
Population 451,26062.0,115.0,,
Population 452,11978.0,76.0,,
Population 453,8851.0,32.0,,
Population 454,11075.0,50.0,,
Population 455,19750.0,1084.0,,
Population 456,9064.0,22.0,,
Population 457,13404.0,61.0,,
Population 458,18593.0,70.0,,
Population 459,10573.0,34.0,,
Population 460,12997.0,80.0,,
Population 461,19870.0,134.0,,
Population 462,10929.0,43.0,,
Population 463,17778.0,668.0,,
Population 464,11808.0,955.0,2.0,
Population 465,10349.0,24.0,,
Population 466,13764.0,26.0,,
Population 467,37269.0,180.0,,
Population 468,14711.0,77.0,,
Population 469,19163.0,140.0,,
Population 470,15425.0,2971.0,15.0,
Population 471,29510.0,366.0,7.0,
Population 472,7986.0,13.0,,
Population 473,10989.0,18.0,,
Population 474,9026.0,37.0,,
Population 475,8477.0,49.0,,
Population 476,17145.0,129.0,,
Population 477,14845.0,19.0,,
Population 478,12279.0,25.0,,
Population 479,13687.0,36.0,,
Population 480,9823.0,15.0,,
Population 481,24220.0,59.0,,
Population 482,11545.0,48.0,,
Population 483,8980.0,18.0,,
Population 484,25396.0,128.0,,
Population 485,53494.0,177.0,,
Population 486,25498.0,104.0,,
Population 487,9582.0,11.0,,
Population 488,14743.0,45.0,,
Population 489,51604.0,263.0,,
Population 490,9047.0,34.0,,
Population 491,8462.0,15.0,,
Population 492,12684.0,114.0,,
Population 493,8253.0,11.0,,
Population 494,20269.0,225.0,,
Population 495,14301.0,51.0,,
Population 496,10534.0,18.0,,
Population 497,12784.0,48.0,,
Population 498,8634.0,18.0,,
Population 499,12122.0,48.0,,
Population 500,16752.0,41.0,,
Population 501,14614.0,58.0,,
Population 502,13082.0,73.0,1.0,
Population 503,10178.0,39.0,,
Population 504,49310.0,221.0,,
Population 505,13075.0,25.0,,
Population 506,12083.0,25.0,,
Population 507,9938.0,22.0,,
Population 508,25796.0,66.0,,
Population 509,17919.0,46.0,,
Population 510,13778.0,25.0,,
Population 511,14738.0,51.0,,
Population 512,9718.0,29.0,,
Population 513,161894.0,5398.0,23.0,6.0
Population 514,15590.0,192.0,,
Population 515,10725.0,51.0,,
Population 516,10591.0,11.0,,
Population 517,14220.0,67.0,,
Population 518,14579.0,67.0,,
Population 519,22269.0,27.0,,
Population 520,7829.0,4.0,,
Population 521,17603.0,115.0,,
Population 522,12858.0,131.0,,
Population 523,9904.0,52.0,,
Population 524,39272.0,311.0,,
Population 525,186061.0,1508.0,,
Population 526,13151.0,63.0,,
Population 527,67831.0,377.0,,
Population 528,46374.0,639.0,6.0,
Population 529,13173.0,98.0,,
Population 530,9915.0,22.0,,
Population 531,9499.0,21.0,,
Population 532,13943.0,378.0,3.0,
Population 533,17474.0,118.0,,
Population 534,33018.0,107.0,,
Population 535,12457.0,173.0,,
Population 536,21623.0,52.0,,
Population 537,17614.0,82.0,,
Population 538,8663.0,28.0,,
Population 539,11861.0,22.0,,
Population 540,44918.0,171.0,,
Population 541,505476.0,6434.0,68.0,
Population 542,23681.0,116.0,,
Population 543,18829.0,141.0,1.0,
Population 544,10888.0,78.0,,
Population 545,15378.0,202.0,,
Population 546,12323.0,50.0,,
Population 547,58454.0,307.0,,
Population 548,75581.0,1947.0,20.0,
Population 549,49766.0,158.0,,
Population 550,27008.0,58.0,,
Population 551,22415.0,114.0,4.0,1.0
Population 552,9257.0,28.0,,
Population 553,25481.0,239.0,,
Population 554,19135.0,84.0,,
Population 555,13743.0,28.0,,
Population 556,21586.0,156.0,,
Population 557,13459.0,168.0,,
Population 558,12258.0,129.0,,
Population 559,14055.0,36.0,,
Population 560,17433.0,56.0,,
Population 561,13742.0,10.0,,
Population 562,21474.0,118.0,,
Population 563,19966.0,232.0,,
Population 564,11708.0,40.0,,
Population 565,10475.0,83.0,,
Population 566,11036.0,38.0,,
Population 567,8218.0,16.0,,
Population 568,54784.0,601.0,13.0,
Population 569,22035.0,466.0,6.0,
Population 570,9773.0,47.0,,
Population 571,41716.0,99.0,,
Population 572,13308.0,17.0,,
Population 573,56605.0,824.0,,
Population 574,13728.0,73.0,,
Population 575,13157.0,62.0,,
Population 576,11220.0,29.0,,
Population 577,10383.0,94.0,,
Population 578,13475.0,56.0,,
Population 579,15363.0,116.0,1.0,
Population 580,13174.0,56.0,,
Population 581,13822.0,44.0,,
Population 582,19800.0,338.0,,
Population 583,10766.0,8.0,,
Population 584,8509.0,47.0,,
Population 585,14783.0,105.0,,
Population 586,8552.0,9.0,,
Population 587,31653.0,180.0,,
Population 588,9874.0,22.0,,
Population 589,10195.0,25.0,,
Population 590,17623.0,151.0,,
Population 591,10037.0,26.0,,
Population 592,9345.0,37.0,,
Population 593,594975.0,5760.0,19.0,
Population 594,12166.0,61.0,,
Population 595,17687.0,140.0,,
Population 596,81987.0,2080.0,11.0,
Population 597,14049.0,54.0,,
Population 598,8555.0,494.0,,
Population 599,11798.0,122.0,,
Population 600,12474.0,69.0,,
Population 601,10506.0,94.0,,
Population 602,30342.0,217.0,,
Population 603,11489.0,60.0,,
Population 604,25260.0,123.0,,
Population 605,18483.0,120.0,,
Population 606,70919.0,428.0,4.0,
Population 607,7778.0,20.0,,
Population 608,20400.0,78.0,,
Population 609,23929.0,61.0,,
Population 610,27959.0,96.0,,
Population 611,12546.0,64.0,,
Population 612,10729.0,19.0,,
Population 613,19032.0,56.0,,
Population 614,10489.0,61.0,,
Population 615,11077.0,23.0,,
Population 616,8291.0,61.0,,
Population 617,13689.0,95.0,,
Population 618,12626.0,249.0,,
Population 619,13822.0,61.0,,
Population 620,59919.0,233.0,,
Population 621,13057.0,38.0,,
Population 622,11729.0,35.0,2.0,
Population 623,10602.0,96.0,,
Population 624,18664.0,86.0,,
Population 625,10227.0,81.0,,
Population 626,21773.0,73.0,,
Population 627,10778.0,168.0,,
Population 628,30238.0,190.0,,
Population 629,12347.0,49.0,,
Population 630,12869.0,118.0,1.0,
Population 631,15645.0,129.0,,
Population 632,22109.0,344.0,,
Population 633,9239.0,93.0,,
Population 634,14169.0,73.0,,
Population 635,10955.0,55.0,,
Population 636,10480.0,183.0,,
Population 637,17581.0,43.0,,
Population 638,352104.0,1883.0,,
Population 639,10903.0,27.0,,
Population 640,67281.0,1290.0,2.0,
Population 641,41305.0,188.0,,
Population 642,15318.0,80.0,,
Population 643,10011.0,31.0,,
Population 644,30201.0,185.0,4.0,
Population 645,13497.0,127.0,,
Population 646,19871.0,132.0,,
Population 647,20824.0,123.0,,
Population 648,8615.0,45.0,,
Population 649,12347.0,31.0,,
Population 650,9464.0,36.0,,
Population 651,10209.0,22.0,,
Population 652,13414.0,60.0,,
Population 653,11908.0,11.0,,
Population 654,9210.0,18.0,,
Population 655,17933.0,62.0,,
Population 656,10124.0,5.0,,
Population 657,15999.0,45.0,,
Population 658,18030.0,29.0,,
Population 659,14032.0,328.0,1.0,
Population 660,107143.0,617.0,,
Population 661,11152.0,141.0,,
Population 662,11948.0,89.0,,
Population 663,11641.0,33.0,,
Population 664,11590.0,48.0,,
Population 665,44853.0,212.0,,
Population 666,10206.0,30.0,,
Population 667,11508.0,26.0,,
Population 668,10273.0,76.0,,
Population 669,8443.0,14.0,,
Population 670,33180.0,144.0,,
Population 671,14414.0,370.0,3.0,
Population 672,13712.0,1264.0,,
Population 673,16263.0,56.0,,
