,1,2,3
Population 322,8973.0,29.0,
Population 323,13827.0,70.0,
Population 324,10394.0,32.0,
Population 325,26094.0,68.0,
Population 326,7501.0,53.0,
Population 327,10241.0,12.0,
Population 328,7190.0,34.0,
Population 329,10167.0,73.0,
Population 330,9348.0,16.0,
Population 331,10249.0,231.0,
Population 332,10897.0,25.0,
Population 333,18615.0,68.0,
Population 334,10620.0,74.0,
Population 335,9882.0,61.0,
Population 336,9754.0,15.0,
Population 337,15372.0,91.0,
Population 338,140813.0,1560.0,2.0
Population 339,9456.0,12.0,
Population 340,7572.0,16.0,
Population 341,7384.0,21.0,
Population 342,9517.0,45.0,
Population 343,24731.0,74.0,
Population 344,16378.0,104.0,
Population 345,6648.0,11.0,
Population 346,11079.0,26.0,
Population 347,20722.0,107.0,
Population 348,8793.0,17.0,
Population 349,12650.0,17.0,
Population 350,27507.0,53.0,
Population 351,9329.0,34.0,
Population 352,9297.0,6.0,
Population 353,12344.0,26.0,
Population 354,6462.0,17.0,
Population 355,10608.0,35.0,
Population 356,20364.0,257.0,2.0
Population 357,9935.0,28.0,
Population 358,10644.0,53.0,
Population 359,10636.0,162.0,
Population 360,12057.0,18.0,
Population 361,6810.0,49.0,
Population 362,44868.0,299.0,
Population 363,9579.0,12.0,
Population 364,18286.0,139.0,
Population 365,8757.0,24.0,
Population 366,10584.0,10.0,
Population 367,13138.0,44.0,
Population 368,16641.0,88.0,
Population 369,9750.0,24.0,
Population 370,7231.0,40.0,
Population 371,32674.0,141.0,
Population 372,9326.0,24.0,
Population 373,6558.0,18.0,
Population 374,8769.0,18.0,
Population 375,9375.0,59.0,
Population 376,11596.0,12.0,
Population 377,6097.0,9.0,
Population 378,9596.0,39.0,
Population 379,9528.0,10.0,
Population 380,15469.0,36.0,
Population 381,11373.0,17.0,
Population 382,8725.0,24.0,
Population 383,6771.0,17.0,
Population 384,7981.0,49.0,
Population 385,8479.0,9.0,
Population 386,7164.0,9.0,
Population 387,25108.0,279.0,
Population 388,7371.0,25.0,
Population 389,18019.0,67.0,
Population 390,87357.0,860.0,3.0
Population 391,6940.0,10.0,
Population 392,13613.0,151.0,
Population 393,12200.0,69.0,
Population 394,8305.0,27.0,
Population 395,8207.0,16.0,
Population 396,93643.0,488.0,1.0
Population 397,12646.0,221.0,
Population 398,7465.0,17.0,
Population 399,5920.0,38.0,
Population 400,12211.0,107.0,
Population 401,8433.0,25.0,
Population 402,7935.0,5.0,
Population 403,8940.0,22.0,
Population 404,8521.0,2.0,
Population 405,11039.0,29.0,
Population 406,30816.0,108.0,
Population 407,8361.0,17.0,
Population 408,12741.0,42.0,
Population 409,7739.0,14.0,
Population 410,13889.0,165.0,
Population 411,10580.0,48.0,
Population 412,12868.0,35.0,
Population 413,15327.0,290.0,
Population 414,19969.0,44.0,
Population 415,15686.0,132.0,
Population 416,16215.0,65.0,
Population 417,11131.0,66.0,
Population 418,7664.0,33.0,
Population 419,10941.0,38.0,
Population 420,9976.0,46.0,10.0
Population 421,8788.0,17.0,
Population 422,8580.0,10.0,
Population 423,21755.0,132.0,
Population 424,62978.0,223.0,
Population 425,13205.0,67.0,
Population 426,9311.0,15.0,
Population 427,19287.0,78.0,
Population 428,6526.0,23.0,
Population 429,9178.0,9.0,
Population 430,9569.0,29.0,
Population 431,67592.0,768.0,2.0
Population 432,14146.0,61.0,
Population 433,6295.0,17.0,
Population 434,8307.0,186.0,
Population 435,14282.0,23.0,
Population 436,9288.0,193.0,
Population 437,18779.0,80.0,
Population 438,19240.0,154.0,
Population 439,19204.0,146.0,
Population 440,7716.0,12.0,
Population 441,24447.0,59.0,
Population 442,26939.0,1098.0,
Population 443,10025.0,28.0,
Population 444,12188.0,42.0,
Population 445,9725.0,11.0,
Population 446,10010.0,21.0,
Population 447,14179.0,26.0,
Population 448,7991.0,23.0,
Population 449,8443.0,17.0,
Population 450,17049.0,45.0,
Population 451,6363.0,21.0,
Population 452,13897.0,126.0,
Population 453,7401.0,34.0,
Population 454,9712.0,13.0,
Population 455,12002.0,147.0,
Population 456,6871.0,41.0,
Population 457,11547.0,16.0,
Population 458,9001.0,202.0,
Population 459,10656.0,51.0,3.0
Population 460,23109.0,43.0,
Population 461,10476.0,12.0,
Population 462,12790.0,33.0,
Population 463,28883.0,247.0,
Population 464,8399.0,35.0,
Population 465,6425.0,32.0,
Population 466,10408.0,50.0,
Population 467,8822.0,10.0,
Population 468,11385.0,20.0,
Population 469,7809.0,24.0,
Population 470,8483.0,47.0,4.0
Population 471,9350.0,42.0,
Population 472,7024.0,15.0,
Population 473,16649.0,52.0,
Population 474,13667.0,24.0,
Population 475,9374.0,59.0,
Population 476,15143.0,21.0,
Population 477,8560.0,23.0,
Population 478,6732.0,8.0,
Population 479,12559.0,36.0,
Population 480,13924.0,47.0,
Population 481,7092.0,10.0,
Population 482,8394.0,15.0,
Population 483,8883.0,37.0,
Population 484,10980.0,17.0,
Population 485,16841.0,678.0,4.0
Population 486,10794.0,19.0,
Population 487,8670.0,33.0,
Population 488,6172.0,16.0,
Population 489,9209.0,40.0,
Population 490,9252.0,25.0,
Population 491,24555.0,104.0,
Population 492,7111.0,30.0,
Population 493,11835.0,50.0,
Population 494,11748.0,79.0,
Population 495,15611.0,36.0,
Population 496,8545.0,10.0,
Population 497,12249.0,65.0,
Population 498,7234.0,11.0,
Population 499,6909.0,37.0,
Population 500,10219.0,20.0,
Population 501,7572.0,11.0,
Population 502,7997.0,26.0,
Population 503,8505.0,51.0,
Population 504,20035.0,198.0,
Population 505,8031.0,26.0,
Population 506,7978.0,7.0,
Population 507,15594.0,85.0,
Population 508,28658.0,270.0,
Population 509,7941.0,14.0,
Population 510,8460.0,13.0,
Population 511,11130.0,7.0,
Population 512,10719.0,51.0,
Population 513,34932.0,441.0,13.0
Population 514,9940.0,44.0,
Population 515,6635.0,15.0,
Population 516,6489.0,9.0,
Population 517,176087.0,1826.0,4.0
Population 518,11093.0,22.0,
Population 519,8211.0,51.0,
Population 520,7479.0,25.0,
Population 521,19477.0,82.0,
Population 522,8533.0,16.0,
Population 523,8939.0,12.0,
Population 524,15764.0,171.0,
Population 525,10693.0,180.0,
Population 526,6244.0,3.0,
Population 527,12010.0,107.0,
Population 528,8605.0,16.0,
Population 529,14900.0,52.0,
Population 530,11459.0,9.0,
Population 531,40240.0,177.0,
Population 532,9117.0,28.0,
Population 533,9308.0,226.0,
Population 534,11894.0,132.0,2.0
Population 535,7874.0,18.0,
Population 536,7525.0,9.0,
Population 537,21705.0,80.0,
Population 538,11158.0,24.0,
Population 539,13677.0,71.0,
Population 540,10143.0,49.0,
Population 541,6458.0,27.0,
Population 542,13552.0,63.0,
Population 543,6054.0,1.0,
Population 544,7765.0,11.0,
Population 545,18045.0,34.0,
Population 546,9462.0,10.0,
Population 547,8725.0,50.0,
Population 548,16049.0,54.0,
Population 549,8474.0,11.0,
Population 550,8817.0,30.0,
Population 551,11396.0,17.0,
Population 552,8786.0,39.0,
Population 553,16527.0,253.0,
Population 554,12882.0,50.0,
Population 555,6710.0,25.0,
Population 556,7966.0,15.0,
Population 557,7833.0,24.0,
Population 558,39044.0,180.0,
Population 559,12555.0,27.0,
Population 560,10396.0,91.0,
Population 561,10863.0,32.0,
Population 562,6609.0,9.0,
Population 563,9151.0,18.0,
Population 564,7620.0,47.0,
Population 565,14923.0,164.0,1.0
Population 566,8166.0,27.0,
Population 567,9829.0,19.0,
Population 568,7372.0,4.0,
Population 569,7216.0,19.0,
Population 570,6791.0,47.0,
Population 571,10811.0,31.0,
Population 572,7290.0,114.0,
Population 573,20029.0,139.0,1.0
Population 574,8555.0,8.0,
Population 575,11190.0,52.0,
Population 576,7764.0,48.0,
Population 577,13893.0,14.0,
