,neutral_MaxAFs,selection_MaxAFs,neutral_H,selection_H,neutral_total_m,selection_total_m,neutral_rec_errors,selection__rec_errors
44,0.0015059278243107458,0.8642587170497319,0.967119522989168,0.29658160386738264,63015.0,58538.0,1.1720659584703128,4.027730498282999
45,0.0017141876752864843,0.9816287011386691,0.9533160445408325,0.04764772213086077,63312.0,61222.0,1.2958232280397475,3.3595561033158425
46,0.013573315598801152,0.9007896873006945,0.5979013875043676,0.14337548319748883,63526.0,59621.0,1.2603529138307525,3.9245555746975143
47,0.004331361611445004,0.3657792364653669,0.8696741873283412,0.7489581926495839,62876.0,57212.0,1.2804400619050984,4.227912476989712
48,0.0006779226697548665,0.38409885265763305,0.9837059154669171,0.769170151384302,63045.0,57521.0,1.2274633805685529,4.289817920943284
49,0.0005833715634171477,0.813084215079386,0.9833059628810741,0.3034805065977756,63122.0,58503.0,1.2745783928012067,4.038530290223051
50,0.0009327622134948346,0.9868342524174513,0.9790668758987804,0.03529239810416884,63349.0,60218.0,1.2291781635492285,3.5761485893336253
51,0.0006948123185882261,0.777161031642087,0.9826983239214228,0.21329676268164843,63568.0,58207.0,1.3117267699807797,4.157513310588389
52,0.0010916417483494384,0.994459035415317,0.9606246079817929,0.058797995319108454,63712.0,60991.0,1.2367715902207266,3.24040826673998
53,0.0033269429580116885,0.36050311978703375,0.9020209155470382,0.725623386137669,63186.0,57334.0,1.2381690992847503,4.257098059927692
54,0.0007138325029814397,0.9963905291268395,0.9839809706049819,0.6077732908716764,63959.0,57905.0,1.2304269353221748,3.4798399665449953
55,0.0024410525268336444,0.3579157303943672,0.9290621842108763,0.7081535347275153,64087.0,55978.0,1.3032678396418227,4.4134102196050335
56,0.000997236686788,0.9512031069874978,0.9786578451738557,0.23565953608756218,63773.0,59575.0,1.2291781635492285,3.6862941415671173
57,0.0030476623914177494,0.6017868818922235,0.9011747638474698,0.4089016238363399,63646.0,56240.0,1.2291781635492285,4.479067085173927
58,0.001077973675463439,0.9796129911364481,0.9733094697153136,0.24733891481892767,63187.0,59004.0,1.239079544658587,3.706587419821373
59,0.0021755345326868267,0.010659455995063755,0.9338789929913549,0.9784367926412504,63334.0,56305.0,1.2570529756133446,4.5354545994013655
60,0.0012060463533920878,0.19161054888979037,0.9720815728390217,0.8190503666575375,63334.0,56267.0,1.2593967704021694,4.403674690340782
61,0.007655856171736699,0.15543011187450817,0.7635783079255987,0.8642998459759494,63418.0,55933.0,1.2576879217941368,4.374647904567521
62,0.0013423748566151715,0.8389995513590381,0.9550038664612511,0.19376902151739517,63543.0,57812.0,1.2797843351785545,4.083908710241488
63,0.0007445104968695002,0.8004362907283121,0.9759233832036585,0.4290859140250899,63095.0,60002.0,1.3118216662628388,3.4269087546069343
64,0.009393608601219473,0.9856848714372559,0.6196915032182638,0.3873449105949812,62995.0,58687.0,1.2824199902769067,4.0217640474928
65,0.0008032720421493471,0.9793851784671891,0.9745539802677458,0.27128862345308125,63536.0,59385.0,1.247291141685757,3.5751163314965773
66,0.0023310722194253694,0.43559908602429925,0.9411477753340529,0.8107526315126423,63293.0,56945.0,1.2144421710741256,4.261976800260143
67,0.007551202203228058,0.5902828145924538,0.7929581363861982,0.47122858583091554,63023.0,58055.0,1.2142278631743153,4.272190087208333
68,0.0004223357203951109,0.8625899578907379,0.985780088581538,0.5892633459599219,63742.0,56181.0,1.200838403398052,4.653302940946094
69,0.0007930918621556895,0.5548193113839317,0.9774669799900866,0.6623220841520414,63179.0,57654.0,1.2227923688534759,4.036860370160177
70,0.00041133081695892906,0.17572497507509643,0.9885130294601745,0.8313554708752868,63604.0,56398.0,1.3260273459227818,4.403674690340782
71,0.0006561362254815197,0.7134629151978893,0.983752414249537,0.5935672717774175,63512.0,56364.0,1.2964698631056955,4.345316918689063
72,0.1286152084999228,0.297785230108622,0.12876505877399036,0.7109404187664545,63702.0,56931.0,1.2664725646412514,4.3586476634158515
73,0.0016021713318794776,0.4408495503672223,0.9597379748256265,0.6497037107162993,63317.0,57461.0,1.2225482234270508,4.2236732227772045
74,0.00105086948315965,0.26724473308199487,0.9632475514775187,0.7725196197866339,63267.0,55558.0,1.2291781635492285,4.49155079812231
75,0.0020839129127439076,0.5221103415190944,0.9348513861486011,0.666919100887185,63120.0,58346.0,1.26225811964364,4.100106489902096
76,0.015383411737757842,0.246457570122304,0.5919286445875263,0.7958820447756375,63083.0,56730.0,1.2281989058277176,4.441747874867012
77,0.001371772810993481,0.19460653720301246,0.9674188486574054,0.8324943754139675,63649.0,56415.0,1.2570529756133446,4.325140054619542
78,0.00036954482920437115,0.9922552884682005,0.9895652393888384,0.18291686792491402,63020.0,59568.0,1.2225482234270508,3.443920276878213
79,0.004767494267764008,0.9896440508226544,0.8548805466433025,0.4539150812375691,63364.0,58601.0,1.2251554394765165,3.6337736621811523
80,0.007137440170287522,0.2424538213075325,0.7848864945952343,0.8013877333403965,63602.0,55955.0,1.2258631934881397,4.306733541548962
81,0.0032472884188545627,0.9606638790040678,0.8921329393485818,0.04206923640983051,63306.0,59438.0,1.2150615542014194,4.021220790476878
82,0.0008996701853635523,0.768300056930831,0.9808424231368124,0.3395307195422529,63157.0,58885.0,1.1430511694763403,4.021220790476878
83,0.053969481126191134,0.18632899419125803,0.24268425402795735,0.8371467478447155,62979.0,54316.0,1.1632703506901443,4.3037917749481664
84,0.012194601365499758,0.7608666441351076,0.7610515298535174,0.27699413878563683,62894.0,58066.0,1.2878208443126269,4.31172676998078
85,0.004573237533572794,0.7694910263087895,0.8635743146128556,0.7078109802899957,63603.0,56756.0,1.2291781635492285,4.0523712275637145
86,0.0077240848548671874,0.22852077165214535,0.794495573672406,0.8480518205554498,62856.0,55945.0,1.2428274702973745,4.420171061507908
87,0.00040661442977199395,0.7045778001442011,0.9886218114321277,0.3755274347748202,63286.0,56114.0,1.2709044113185364,4.366355480033867
88,0.0016114666523462605,0.37225800610376103,0.9489990190649901,0.611061577140265,63378.0,57503.0,1.2603353661446235,4.312219887595617
89,0.004246767322501926,0.3389529759617085,0.8869876521369137,0.7314461079158621,63311.0,57553.0,1.271713408341494,4.1974761214427865
90,0.006916147970746063,0.7776861313397683,0.7596373561338634,0.304081611046065,63115.0,54693.0,1.2616954808766465,4.740619356060169
91,0.0005337507029586103,0.4713977018583004,0.9871379369897747,0.6925882097915301,63290.0,59199.0,1.1630215082891517,3.8892180249906243
92,0.009989729014518972,0.9441750973089901,0.7485633801856293,0.037919452651661856,63094.0,58629.0,1.2411346801908483,4.1898186724073625
93,0.0005576676827918112,0.18235005580671582,0.9850503481015402,0.8503640116325698,63475.0,55792.0,1.2478761338027873,4.527286891448677
94,0.0004073102901766237,0.4536265095735744,0.988285235266726,0.6338508769407698,63561.0,56972.0,1.2238518314517837,4.237925567439657
95,0.0004469056062869768,0.530447281800449,0.9891930949848441,0.5384111181504192,63439.0,55900.0,1.2982173319433912,4.403674690340782
96,0.0005249622437742121,0.9672322428172752,0.9887341261110077,0.1766145148289623,63494.0,60857.0,1.1974761214427865,3.172065958470313
97,0.0005192664974992796,0.996026989315201,0.9827753889126778,0.19805358064809897,63401.0,60240.0,1.2394536595823418,3.325140054619542
98,0.0023642501562485814,0.8724861151580071,0.933386250924773,0.188803988344043,63098.0,59264.0,1.2930006220309238,4.014144684487206
99,0.002774773431503372,0.5169903724792124,0.9042361500215553,0.5321976378732931,63418.0,57480.0,1.2304915064296846,4.31172676998078
