,1,2,3,4,5
Population 400,127916.0,1178.0,2.0,,
Population 401,748614.0,5250.0,12.0,,
Population 402,417366.0,2789.0,14.0,,
Population 403,225296.0,9671.0,15.0,,
Population 404,422880.0,10155.0,90.0,,
Population 405,37675.0,141.0,,,
Population 406,455517.0,18428.0,46.0,,
Population 407,134175.0,1161.0,,,
Population 408,112658.0,671.0,,,
Population 409,65050.0,309.0,,,
Population 410,625793.0,4606.0,19.0,,
Population 411,119740.0,1405.0,,,
Population 412,459354.0,3866.0,4.0,,
Population 413,380538.0,7540.0,27.0,,
Population 414,37059.0,78.0,,,
Population 415,277281.0,1679.0,4.0,,
Population 416,213130.0,3568.0,16.0,,
Population 417,953630.0,16686.0,94.0,,
Population 418,96542.0,566.0,1.0,,
Population 419,54654.0,826.0,,,
Population 420,141831.0,1755.0,6.0,,
Population 421,221393.0,2059.0,1.0,,
Population 422,136831.0,1423.0,,,
Population 423,36791.0,236.0,,,
Population 424,103251.0,14061.0,46.0,,
Population 425,567392.0,7892.0,47.0,,
Population 426,72375.0,13152.0,24.0,,
Population 427,85425.0,493.0,,,
Population 428,629419.0,24951.0,260.0,,
Population 429,705799.0,36345.0,232.0,,
Population 430,720086.0,11248.0,64.0,,
Population 431,142668.0,2352.0,,,
Population 432,271461.0,3357.0,7.0,,
Population 433,106710.0,703.0,,,
Population 434,194080.0,1623.0,,,
Population 435,416782.0,7074.0,11.0,,
Population 436,103519.0,566.0,,,
Population 437,113047.0,8341.0,81.0,,
Population 438,189807.0,1630.0,17.0,,
Population 439,318802.0,5589.0,11.0,,
Population 440,532727.0,6515.0,33.0,,
Population 441,46616.0,306.0,,,
Population 442,148110.0,7255.0,10.0,,
Population 443,192836.0,2306.0,2.0,,
Population 444,780401.0,58261.0,264.0,,
Population 445,110838.0,2276.0,6.0,,
Population 446,78375.0,379.0,2.0,,
Population 447,74826.0,788.0,,,
Population 448,465985.0,12782.0,59.0,,
Population 449,379482.0,6975.0,54.0,,
Population 450,544056.0,3661.0,5.0,,
Population 451,147877.0,1734.0,7.0,,
Population 452,135681.0,8661.0,334.0,,
Population 453,119368.0,4802.0,142.0,,
Population 454,133141.0,1625.0,,,
Population 455,49194.0,27210.0,218.0,,
Population 456,54447.0,640.0,,,
Population 457,39036.0,351.0,2.0,,
Population 458,315445.0,7363.0,9.0,,
Population 459,590414.0,25758.0,952.0,10.0,
Population 460,686328.0,25864.0,175.0,,
Population 461,950522.0,44059.0,292.0,7.0,
Population 462,330113.0,8558.0,13.0,,
