,1,2
Population 844,168.0,
Population 845,879.0,1.0
Population 846,102.0,
Population 847,48.0,
Population 848,91.0,
Population 849,79.0,4.0
Population 850,60.0,
Population 851,65.0,
Population 852,48.0,
Population 853,212.0,3.0
Population 854,55.0,
Population 855,57.0,
Population 856,133.0,
Population 857,52.0,
Population 858,146.0,
Population 859,18.0,
Population 860,28.0,
Population 861,101.0,
Population 862,47.0,
Population 863,62.0,12.0
Population 864,79.0,
Population 865,293.0,
Population 866,70.0,
Population 867,113.0,
Population 868,140.0,
Population 869,87.0,
Population 870,22.0,
Population 871,1323.0,77.0
Population 872,263.0,
Population 873,91.0,
Population 874,33.0,
Population 875,69.0,
Population 876,325.0,
Population 877,135.0,
Population 878,66.0,
Population 879,100.0,
Population 880,78.0,
Population 881,121.0,
Population 882,81.0,
Population 883,511.0,1.0
Population 884,126.0,
Population 885,11.0,
Population 886,26.0,
Population 887,24.0,
Population 888,25.0,
Population 889,36.0,
Population 890,32.0,
Population 891,33.0,
Population 892,63.0,
Population 893,581.0,5.0
Population 894,48.0,
Population 895,83.0,
Population 896,23.0,
Population 897,94.0,
Population 898,56.0,
Population 899,48.0,
Population 900,68.0,
Population 901,74.0,
Population 902,29.0,
Population 903,62.0,
Population 904,512.0,
Population 905,171.0,
Population 906,213.0,
Population 907,478.0,2.0
Population 908,41.0,
Population 909,86.0,
Population 910,41.0,
Population 911,260.0,13.0
Population 912,466.0,3.0
Population 913,34.0,
Population 914,47.0,
Population 915,58.0,
Population 916,40.0,
Population 917,28.0,
Population 918,114.0,2.0
Population 919,42.0,
Population 920,99.0,
Population 921,50.0,
Population 922,27.0,
Population 923,31.0,
Population 924,83.0,4.0
Population 925,76.0,
Population 926,46.0,2.0
Population 927,15.0,
Population 928,40.0,
Population 929,228.0,
Population 930,158.0,
Population 931,78.0,2.0
Population 932,40.0,
Population 933,190.0,
Population 934,49.0,
Population 935,26.0,
Population 936,126.0,
Population 937,178.0,
Population 938,53.0,
Population 939,353.0,
Population 940,55.0,
Population 941,265.0,1.0
Population 942,222.0,
Population 943,100.0,1.0
Population 944,1306.0,
Population 945,125.0,
Population 946,92.0,
Population 947,31.0,
Population 948,60.0,
Population 949,664.0,1.0
Population 950,152.0,
Population 951,329.0,1.0
Population 952,43.0,
Population 953,78.0,
Population 954,77.0,
Population 955,19.0,1.0
Population 956,90.0,
Population 957,1205.0,5.0
Population 958,50.0,
Population 959,56.0,
Population 960,824.0,2.0
Population 961,59.0,
Population 962,140.0,
Population 963,17.0,
Population 964,583.0,2.0
Population 965,67.0,
Population 966,104.0,
Population 967,69.0,
Population 968,36.0,1.0
Population 969,39.0,
Population 970,83.0,1.0
Population 971,69.0,
Population 972,23.0,
Population 973,71.0,
Population 974,2218.0,4.0
Population 975,79.0,
Population 976,52.0,
Population 977,128.0,
Population 978,153.0,
Population 979,40.0,
Population 980,84.0,
Population 981,64.0,
Population 982,30.0,
Population 983,100.0,1.0
Population 984,15.0,
Population 985,66.0,
Population 986,81.0,
Population 987,466.0,
Population 988,128.0,
Population 989,24.0,
Population 990,128.0,
Population 991,142.0,
Population 992,50.0,
Population 993,82.0,
Population 994,58.0,
Population 995,120.0,
Population 996,222.0,1.0
Population 997,50.0,1.0
Population 998,163.0,
Population 999,36.0,
