,1,2,3
Population 678,244.0,,
Population 679,302.0,,
Population 680,71.0,,
Population 681,109.0,,
Population 682,103.0,,
Population 683,207.0,,
Population 684,89.0,,
Population 685,42.0,,
Population 686,170.0,,
Population 687,41.0,,
Population 688,74.0,,
Population 689,41.0,,
Population 690,40.0,,
Population 691,52.0,,
Population 692,136.0,,
Population 693,242.0,,
Population 694,199.0,,
Population 695,89.0,,
Population 696,39.0,,
Population 697,96.0,,
Population 698,37.0,,
Population 699,76.0,,
Population 700,103.0,,
Population 701,58.0,,
Population 702,51.0,,
Population 703,143.0,,
Population 704,65.0,,
Population 705,35.0,,
Population 706,54.0,,
Population 707,38.0,,
Population 708,90.0,,
Population 709,35.0,,
Population 710,92.0,,
Population 711,41.0,,
Population 712,22.0,,
Population 713,54.0,,
Population 714,34.0,,
Population 715,113.0,,
Population 716,34.0,,
Population 717,139.0,1.0,
Population 718,60.0,,
Population 719,38.0,,
Population 720,532.0,,
Population 721,24.0,,
Population 722,35.0,,
Population 723,43.0,,
Population 724,218.0,,
Population 725,51.0,1.0,
Population 726,80.0,,
Population 727,60.0,,
Population 728,62.0,,
Population 729,34.0,,
Population 730,48.0,,
Population 731,433.0,2.0,
Population 732,1596.0,13.0,
Population 733,78.0,,
Population 734,31.0,,
Population 735,91.0,,
Population 736,55.0,,
Population 737,178.0,,
Population 738,45.0,,
Population 739,89.0,1.0,
Population 740,54.0,,
Population 741,56.0,,
Population 742,113.0,,
Population 743,32.0,,
Population 744,205.0,,
Population 745,35.0,,
Population 746,38.0,,
Population 747,398.0,,
Population 748,127.0,,
Population 749,503.0,19.0,
Population 750,31.0,,
Population 751,71.0,1.0,
Population 752,80.0,,
Population 753,87.0,,
Population 754,173.0,,
Population 755,60.0,,
Population 756,122.0,,
Population 757,50.0,,
Population 758,90.0,,
Population 759,48.0,,
Population 760,122.0,,
Population 761,40.0,,
Population 762,30.0,,
Population 763,29.0,,
Population 764,23.0,,
Population 765,74.0,,
