,1,2,3,4,5,6
Population 152,0.0,55577065.0,59665206.0,590976.0,,
Population 153,4316731.0,110829067.0,722053.0,691.0,,
Population 154,16956887.0,93580198.0,5336852.0,27076.0,,
Population 155,108653364.0,7074971.0,98731.0,726.0,,
Population 156,10574947.0,20401744.0,84368593.0,572291.0,157.0,
Population 157,105021920.0,10634608.0,166909.0,,,
Population 158,38081270.0,76799049.0,1021057.0,2339.0,,
Population 159,7836.0,52228794.0,61579443.0,2075521.0,5612.0,265.0
Population 160,2972674.0,93357335.0,19521516.0,37819.0,,
Population 161,98235.0,98703374.0,16874534.0,191173.0,753.0,
Population 162,76602570.0,38479734.0,775848.0,3309.0,,
Population 163,22001017.0,92849382.0,1053805.0,6085.0,,
Population 164,101740247.0,13791497.0,327784.0,,,
Population 165,93600101.0,22014600.0,231157.0,118.0,,
Population 166,1697396.0,106767718.0,7369185.0,39257.0,,
Population 167,11384394.0,60121592.0,43907416.0,484557.0,768.0,
Population 168,105973513.0,9444139.0,154642.0,248.0,,
Population 169,37738560.0,77074813.0,1023262.0,1389.0,,
Population 170,55840010.0,58199246.0,1620263.0,7997.0,,
Population 171,89403684.0,26133203.0,333268.0,2194.0,,
Population 172,73798931.0,41657579.0,429921.0,258.0,,
Population 173,89660761.0,25950983.0,199578.0,284.0,,
Population 174,84707946.0,30261274.0,865652.0,867.0,,
Population 175,8183024.0,105095313.0,2400508.0,4656.0,,
Population 176,88386244.0,25942622.0,1531472.0,4287.0,,
Population 177,26978911.0,87936574.0,996860.0,3243.0,,
Population 178,11280277.0,103197718.0,1352270.0,12847.0,,
Population 179,1397674.0,110481193.0,3997723.0,16194.0,,
Population 180,69256181.0,44087242.0,2509929.0,10028.0,,
Population 181,52617033.0,61509955.0,1712712.0,6629.0,,
Population 182,58494485.0,56509769.0,724251.0,3521.0,,
Population 183,108504127.0,7311246.0,43399.0,,,
Population 184,85581491.0,26745569.0,3382074.0,7166.0,,
Population 185,0.0,96425539.0,4165515.0,74522.0,110.0,
Population 186,4787437.0,109576006.0,1545448.0,3178.0,,
Population 187,10253944.0,100367451.0,5264147.0,15670.0,,
Population 188,5278179.0,103751018.0,6788675.0,64248.0,,
Population 189,18084408.0,95538756.0,2239448.0,26559.0,,
Population 190,111512018.0,4255389.0,27687.0,,,
Population 191,104786220.0,9527714.0,1447082.0,5462.0,,
Population 192,35616044.0,79326400.0,699917.0,6821.0,,
Population 193,22075827.0,92603850.0,1247721.0,1452.0,,
