,1,2,3,4
Population 316,30981.0,172.0,,
Population 317,13012.0,70.0,,
Population 318,187738.0,1690.0,6.0,
Population 319,11436.0,5.0,,
Population 320,10437.0,20.0,,
Population 321,12756.0,21.0,,
Population 322,15746.0,54.0,,
Population 323,6317.0,68.0,,
Population 324,7839.0,8.0,,
Population 325,16228.0,60.0,,
Population 326,13267.0,84.0,,
Population 327,8670.0,23.0,,
Population 328,28153.0,249.0,,
Population 329,5973.0,41.0,,
Population 330,10403.0,100.0,,
Population 331,11365.0,134.0,5.0,
Population 332,8027.0,,,
Population 333,28278.0,217.0,,
Population 334,7703.0,19.0,,
Population 335,20462.0,88.0,,
Population 336,28880.0,112.0,,
Population 337,25510.0,82.0,,
Population 338,29737.0,457.0,,
Population 339,10816.0,20.0,,
Population 340,17930.0,77.0,,
Population 341,16156.0,55.0,,
Population 342,9591.0,43.0,,
Population 343,19632.0,61.0,,
Population 344,7774.0,126.0,,
Population 345,13534.0,51.0,,
Population 346,21924.0,164.0,,
Population 347,6724.0,13.0,,
Population 348,10751.0,24.0,,
Population 349,14859.0,31.0,,
Population 350,7368.0,20.0,,
Population 351,117369.0,1173.0,3.0,
Population 352,7001.0,11.0,,
Population 353,10514.0,16.0,,
Population 354,18681.0,66.0,,
Population 355,9098.0,21.0,,
Population 356,20420.0,64.0,,
Population 357,8495.0,25.0,,
Population 358,25120.0,91.0,,
Population 359,10925.0,62.0,,
Population 360,9229.0,36.0,,
Population 361,11256.0,33.0,,
Population 362,7094.0,68.0,,
Population 363,10051.0,37.0,,
Population 364,7028.0,12.0,,
Population 365,15709.0,121.0,,
Population 366,23574.0,181.0,,
Population 367,15225.0,215.0,,
Population 368,20872.0,114.0,,
Population 369,9009.0,63.0,,
Population 370,8106.0,27.0,,
Population 371,22639.0,872.0,,
Population 372,82646.0,533.0,,
Population 373,7561.0,19.0,,
Population 374,309847.0,2325.0,3.0,
Population 375,8045.0,49.0,,
Population 376,25485.0,170.0,,
Population 377,8416.0,33.0,,
Population 378,6864.0,17.0,,
Population 379,10559.0,36.0,,
Population 380,7233.0,27.0,,
Population 381,7423.0,55.0,,
Population 382,35831.0,187.0,,
Population 383,10824.0,40.0,,
Population 384,10851.0,118.0,,
Population 385,6924.0,23.0,,
Population 386,52435.0,341.0,,
Population 387,8651.0,27.0,,
Population 388,7863.0,29.0,,
Population 389,12053.0,52.0,,
Population 390,8042.0,9.0,,
Population 391,23020.0,134.0,,
Population 392,7908.0,58.0,,
Population 393,13592.0,123.0,,
Population 394,21373.0,770.0,,
Population 395,8496.0,24.0,,
Population 396,7573.0,33.0,,
Population 397,6903.0,11.0,,
Population 398,35138.0,241.0,,
Population 399,11016.0,78.0,,
Population 400,13192.0,22.0,,
Population 401,8891.0,36.0,,
Population 402,15185.0,72.0,,
Population 403,11187.0,37.0,,
Population 404,6127.0,8.0,,
Population 405,10338.0,10.0,,
Population 406,8894.0,15.0,,
Population 407,11567.0,143.0,,
Population 408,40102.0,158.0,,
Population 409,18255.0,70.0,,
Population 410,12797.0,96.0,,
Population 411,10636.0,25.0,,
Population 412,10835.0,38.0,,
Population 413,12206.0,38.0,,
Population 414,11421.0,47.0,,
Population 415,10039.0,11.0,,
Population 416,14653.0,51.0,,
Population 417,12752.0,95.0,,
Population 418,14952.0,80.0,,
Population 419,9872.0,29.0,,
Population 420,9011.0,13.0,,
Population 421,10541.0,40.0,,
Population 422,69638.0,904692.0,7765.0,10.0
