,1,2,3,4,5,6
Population 263,94596677.0,20508114.0,754288.0,1513.0,,
Population 264,93251935.0,22294428.0,143357.0,141.0,,
Population 265,52068163.0,61928893.0,1873902.0,2555.0,,
Population 266,108190415.0,7596259.0,90972.0,,,
Population 267,65311391.0,50176138.0,387912.0,417.0,,
Population 268,11401302.0,102420826.0,2072120.0,7671.0,,
Population 269,22127124.0,92865787.0,930537.0,803.0,,
Population 270,7978190.0,97419502.0,10240388.0,211721.0,306.0,
Population 271,897119.0,112520265.0,2447139.0,11542.0,,
Population 272,21959458.0,87046059.0,6886610.0,15209.0,,
Population 273,2729918.0,110091748.0,3048056.0,24844.0,,
Population 274,5237664.0,84875856.0,25373096.0,418806.0,6095.0,
Population 275,58489679.0,56175530.0,1216444.0,7630.0,,
Population 276,64301699.0,51154275.0,411885.0,513.0,,
Population 277,18863300.0,96417872.0,635211.0,421.0,,
Population 278,59010929.0,49285739.0,7596685.0,17417.0,,
Population 279,9199495.0,103290813.0,3365996.0,50293.0,,
Population 280,1836633.0,99988999.0,13916370.0,147314.0,,
Population 281,70171222.0,45178607.0,479511.0,1773.0,,
Population 282,55670542.0,57507644.0,2709111.0,13233.0,,
Population 283,0.0,106820782.0,5494741.0,33720.0,,
Population 284,15209640.0,99891377.0,780172.0,4624.0,,
Population 285,82278934.0,33075942.0,523293.0,1385.0,,
Population 286,100037272.0,15744967.0,77804.0,351.0,,
Population 287,5935790.0,106543220.0,3415532.0,13719.0,,
Population 288,3193161.0,103305467.0,9370895.0,39490.0,,
Population 289,98489705.0,17192105.0,177015.0,18200.0,,
Population 290,1820910.0,111656536.0,2403259.0,7258.0,,
Population 291,10889568.0,94682507.0,10210840.0,143583.0,,
Population 292,108006156.0,7818318.0,40386.0,,,
Population 293,61962809.0,53223417.0,700768.0,3966.0,,
Population 294,0.0,100367159.0,3157078.0,7520.0,,
Population 295,72065327.0,27888582.0,15847088.0,94073.0,,
Population 296,123507.0,100149762.0,15197958.0,391595.0,626.0,
Population 297,106613009.0,9141798.0,77149.0,107.0,,
Population 298,0.0,100261952.0,11931753.0,143968.0,,
Population 299,45191644.0,69876832.0,833433.0,4276.0,,
Population 300,57256399.0,51095189.0,7541146.0,13119.0,,
Population 301,129.0,47454995.0,262200.0,509.0,,
Population 302,15535.0,78762500.0,33480255.0,121048.0,203.0,
Population 303,79143852.0,15301839.0,21272529.0,164390.0,1130.0,
Population 304,17654417.0,92897835.0,5337106.0,28061.0,,
Population 305,1623713.0,112455156.0,1805008.0,6882.0,,
Population 306,29241909.0,83282290.0,3183346.0,176737.0,161.0,
Population 307,2379153.0,111387561.0,2097567.0,11445.0,136.0,
Population 308,10746843.0,101817924.0,3341079.0,14406.0,,
Population 309,113054173.0,2733328.0,70388.0,,,
Population 310,16891716.0,96155608.0,2842176.0,17122.0,,
Population 311,73783552.0,41575415.0,514708.0,130.0,,
Population 312,23886376.0,85422705.0,6511387.0,70936.0,152.0,
Population 313,215313.0,113270065.0,2366285.0,5413.0,,
Population 314,55459452.0,59916760.0,532644.0,1321.0,,
Population 315,8255885.0,97250453.0,10274461.0,157816.0,568.0,
Population 316,5020753.0,89222649.0,14565218.0,7043901.0,42203.0,
