,1,2,3,4,5
Population 286,910853.0,20632.0,250.0,,
Population 287,936306.0,51769.0,1221.0,,
Population 288,972154.0,12011.0,37.0,,
Population 289,369832.0,2291.0,8.0,,
Population 290,388607.0,25161.0,117.0,,
Population 291,715666.0,263638.0,4727.0,31.0,
Population 292,551101.0,15046.0,63.0,,
Population 293,965333.0,9283.0,39.0,,
Population 294,856169.0,21712.0,51.0,,
Population 295,772785.0,56214.0,387.0,,
Population 296,115791.0,776816.0,9452.0,16.0,
Population 297,962858.0,13012.0,161.0,,
Population 298,923267.0,11397.0,23.0,,
Population 299,882384.0,73448.0,1292.0,5.0,
Population 300,706859.0,39167.0,181.0,2.0,
Population 301,695276.0,25629.0,314.0,,
Population 302,454623.0,34037.0,106.0,,
Population 303,877980.0,43444.0,251.0,,
Population 304,540028.0,27002.0,99.0,,
Population 305,13731.0,806458.0,161362.0,1372.0,9.0
Population 306,581808.0,49150.0,117.0,,
Population 307,329006.0,234807.0,4186.0,11.0,3.0
Population 308,599523.0,8337.0,19.0,,
Population 309,978692.0,17983.0,46.0,,
Population 310,654478.0,4976.0,2.0,,
Population 311,821035.0,142065.0,3407.0,92.0,
Population 312,814431.0,174749.0,2352.0,2.0,
Population 313,907408.0,56972.0,924.0,12.0,
Population 314,856567.0,16024.0,57.0,,
Population 315,675887.0,268901.0,1320.0,6.0,
Population 316,863137.0,81551.0,931.0,4.0,
Population 317,762320.0,17676.0,31.0,,
Population 318,417444.0,65618.0,500.0,,
Population 319,659995.0,9144.0,11.0,,
Population 320,596908.0,157362.0,1208.0,,
Population 321,756474.0,6382.0,12.0,,
Population 322,932489.0,65242.0,483.0,,
Population 323,775123.0,7044.0,10.0,,
Population 324,936813.0,16723.0,219.0,,
Population 325,422903.0,14303.0,37.0,,
Population 326,803426.0,75008.0,394.0,,
Population 327,773407.0,22551.0,109.0,,
Population 328,592363.0,340393.0,2172.0,,
Population 329,768504.0,195850.0,3532.0,,
Population 330,845179.0,10892.0,16.0,,
Population 331,551750.0,187019.0,1163.0,10.0,
Population 332,776001.0,11852.0,34.0,,
Population 333,660597.0,28310.0,106.0,,
Population 334,896599.0,35746.0,149.0,,
Population 335,717866.0,29134.0,692.0,,
Population 336,733658.0,38093.0,211.0,,
Population 337,530933.0,3831.0,1.0,,
Population 338,449438.0,167932.0,691.0,,
Population 339,758167.0,16594.0,31.0,,
Population 340,904204.0,90815.0,4210.0,7.0,
Population 341,515719.0,17252.0,1480.0,,
Population 342,875747.0,74816.0,747.0,5.0,
Population 343,545055.0,7862.0,6.0,,
Population 344,915050.0,14442.0,13.0,,
Population 345,638854.0,291641.0,1847.0,9.0,
Population 346,664397.0,10723.0,100.0,,
Population 347,561726.0,9057.0,47.0,,
Population 348,558733.0,13238.0,54.0,,
Population 349,961568.0,33319.0,300.0,,
Population 350,534098.0,454296.0,6778.0,10.0,
Population 351,752134.0,201190.0,2324.0,9.0,
Population 352,707930.0,16867.0,54.0,7.0,
Population 353,736652.0,32589.0,81.0,,
Population 354,579498.0,399050.0,7614.0,10.0,
