,neutral_MaxAFs,neutral_H,neutral_total_m,neutral_rec_errors
390,0.082058,0.15284598549791095,1028.0,0.9723348361132302
391,0.000369,0.9884863930438383,1061.0,1.0262278441084298
392,0.002097,0.9396671364110968,1047.0,1.0103206198108756
393,0.001361,0.9600731120695588,1106.0,0.9929444054252059
394,0.002806,0.8845252782451913,1021.0,0.9723348361132302
395,0.001445,0.958559374272981,1044.0,1.0262278441084298
396,0.0806,0.27302086905815226,1128.0,0.9723348361132302
397,0.003452,0.9196069581889587,1039.0,0.9723348361132302
398,0.000516,0.9846439616891106,1021.0,1.0898041493386792
399,0.000294,0.9917459589849096,1010.0,1.0898041493386792
400,0.003832,0.8777113427124852,1066.0,0.9723348361132302
401,0.00125,0.9723251903707809,1086.0,0.9976586919116599
402,0.000643,0.9830763788869925,1027.0,0.9723348361132302
403,0.00082,0.9750399676563413,1049.0,1.0515516999068595
404,0.001521,0.9596384184038858,1098.0,0.9723348361132302
405,0.002132,0.9465252030063128,1023.0,1.1351622156615946
406,0.02194,0.4958027416880314,1056.0,1.0262278441084298
407,0.000401,0.9885095905046587,1060.0,0.9723348361132302
408,0.004823,0.8515196120972706,1062.0,0.9723348361132302
409,0.000956,0.9742710947039569,1082.0,0.9976586919116599
410,0.002693,0.9306673527380586,1054.0,1.0898041493386792
411,0.001969,0.9489308710673859,1093.0,0.9723348361132302
412,0.002525,0.9377335796006051,1108.0,0.9723348361132302
413,0.004119,0.8980681177213781,1095.0,0.9723348361132302
414,0.013154,0.5694226349934453,1045.0,1.0262278441084298
415,0.006206,0.8312027981841302,1017.0,0.9723348361132302
416,0.007814,0.7642571340605739,1058.0,0.9723348361132302
417,0.003166,0.9112954627984765,1068.0,0.9723348361132302
418,0.000505,0.9868124448244036,1043.0,0.9723348361132302
419,0.003567,0.8883110907332874,1038.0,0.9723348361132302
