,1,2,3,4,5
Population 400,5257609.0,105999840.0,4498871.0,39081.0,
Population 401,111496280.0,745544.0,1619.0,,
Population 402,103741709.0,3718510.0,18292.0,,
Population 403,112045902.0,2638548.0,4373.0,,
Population 404,36100243.0,1040663.0,1449.0,,
Population 405,95772750.0,4374553.0,17561.0,,
Population 406,92096372.0,1198085.0,3634.0,,
Population 407,2733428.0,104680607.0,8383019.0,39650.0,
Population 408,80191266.0,20512158.0,141687.0,463.0,
Population 409,84343694.0,8720743.0,33782.0,,
Population 410,85898119.0,1172255.0,2013.0,,
Population 411,108246819.0,936509.0,8721.0,,
Population 412,90088717.0,4050382.0,19944.0,,
Population 413,62607765.0,50761991.0,1308442.0,5940.0,
Population 414,107106895.0,1385308.0,3253.0,,
Population 415,94936890.0,3742693.0,20469.0,,
Population 416,48101069.0,28283412.0,498398.0,100.0,
Population 417,49823211.0,1857698.0,6329.0,,
Population 418,101201291.0,2151265.0,8402.0,,
Population 419,94003490.0,1665469.0,2044.0,,
Population 420,99570748.0,4066832.0,42464.0,,
Population 421,110210710.0,3992088.0,18698.0,,
Population 422,104457098.0,1423079.0,2014.0,,
Population 423,110005234.0,2219490.0,11671.0,,
Population 424,107501824.0,4894646.0,18970.0,,
Population 425,78680458.0,5496743.0,27365.0,,
Population 426,65414739.0,725436.0,3269.0,,
Population 427,97960007.0,16408014.0,160558.0,,
Population 428,91222972.0,1131626.0,840.0,,
Population 429,88769366.0,21844627.0,2945671.0,11760.0,
Population 430,87259227.0,23567894.0,3825828.0,241402.0,671.0
Population 431,102937093.0,2342775.0,3921.0,,
Population 432,78906258.0,20124138.0,76569.0,,
Population 433,111405635.0,794079.0,1639.0,,
Population 434,109921374.0,3169892.0,20358.0,,
Population 435,110920313.0,1759238.0,2468.0,,
Population 436,95605087.0,1336060.0,3166.0,,
Population 437,90146646.0,677288.0,969.0,,
Population 438,98762488.0,10792243.0,589273.0,2411.0,
Population 439,84399053.0,2433056.0,10072.0,130.0,
Population 440,105080456.0,10107714.0,135455.0,712.0,
Population 441,90162009.0,1107667.0,8242.0,,
Population 442,102169686.0,10712435.0,250509.0,146.0,
Population 443,89300629.0,3565970.0,7526.0,,
Population 444,46730008.0,972082.0,5673.0,,
Population 445,102836034.0,2138477.0,15924.0,,
Population 446,41959321.0,3684521.0,5517.0,,
Population 447,76534110.0,6106763.0,46814.0,235.0,
Population 448,57905211.0,4813060.0,229492.0,2248.0,
Population 449,90835392.0,4060285.0,8239.0,,
Population 450,85289125.0,28885147.0,421461.0,860.0,
Population 451,104565149.0,6279138.0,27170.0,134.0,
Population 452,76527091.0,758698.0,718.0,,
Population 453,55998882.0,41653946.0,4149004.0,16530.0,
Population 454,96163637.0,3572666.0,7771.0,,
Population 455,61807003.0,1584915.0,3395.0,,
Population 456,69508882.0,1292594.0,2627.0,,
Population 457,94499022.0,1291118.0,6537.0,,
Population 458,93856913.0,5667597.0,57620.0,,
Population 459,73653474.0,6090751.0,34127.0,,
Population 460,72380325.0,972637.0,4621.0,,
Population 461,36379222.0,760435.0,6813.0,,
Population 462,112462981.0,3112778.0,22922.0,,
Population 463,111715641.0,2454755.0,8237.0,,
Population 464,102097803.0,2157248.0,5446.0,,
Population 465,78047291.0,2731568.0,8898.0,,
Population 466,87706252.0,750617.0,876.0,,
Population 467,103548185.0,2086096.0,7694.0,,
Population 468,79929837.0,30792299.0,259522.0,208.0,
Population 469,59173997.0,1053497.0,2084.0,,
Population 470,104287759.0,2751977.0,56684.0,,
Population 471,61880128.0,32230063.0,108284.0,130.0,
Population 472,51766803.0,733388.0,2027.0,,
Population 473,104538483.0,5765592.0,18084.0,101.0,
Population 474,35057073.0,14406237.0,59599.0,,
Population 475,62743609.0,24818703.0,221948.0,265.0,
Population 476,108013132.0,2815811.0,7225.0,,
Population 477,69750518.0,740806.0,1189.0,,
Population 478,64255413.0,2491882.0,10172.0,,
Population 479,94460837.0,2091044.0,13951.0,,
Population 480,76638551.0,31439737.0,374568.0,932.0,
Population 481,96324857.0,6158624.0,25809.0,,
Population 482,65404944.0,43072177.0,587917.0,4457.0,
Population 483,39382992.0,6774915.0,9399.0,,
Population 484,106686675.0,6801920.0,92460.0,,
Population 485,85017577.0,21315772.0,95124.0,267.0,
Population 486,110877077.0,4343571.0,41637.0,,
Population 487,13168483.0,85103859.0,536385.0,1193.0,
Population 488,100828171.0,5763716.0,41036.0,,
Population 489,72002166.0,1679810.0,3225.0,,
Population 490,99885483.0,12087335.0,91851.0,,
Population 491,104079818.0,2319060.0,16472.0,,
Population 492,42673450.0,1656547.0,17476.0,,
Population 493,94561931.0,900774.0,3951.0,,
Population 494,112598714.0,2995537.0,24204.0,,
Population 495,56890474.0,1917929.0,6587.0,,
Population 496,66442662.0,2614439.0,218550.0,798.0,
Population 497,55549852.0,413982.0,841.0,,
Population 498,16023171.0,98222880.0,1204113.0,6375.0,
Population 499,111196585.0,4585763.0,21818.0,,
Population 500,111329925.0,3770485.0,12763.0,,
Population 501,52439781.0,1296991.0,1254.0,,
Population 502,40551173.0,66668512.0,1291893.0,2304.0,
Population 503,84553083.0,1107670.0,1377.0,,
Population 504,92268455.0,9218866.0,48549.0,,
Population 505,83610155.0,29212749.0,191998.0,329.0,
Population 506,89887507.0,2829891.0,43152.0,,
Population 507,47132310.0,51067567.0,727759.0,905.0,
Population 508,77183018.0,2625611.0,13543.0,,
Population 509,84710470.0,10625006.0,314650.0,2603.0,
Population 510,50486320.0,517119.0,105.0,,
Population 511,86408249.0,10260403.0,55959.0,,
Population 512,64202112.0,6452195.0,402722.0,223.0,
Population 513,46082211.0,442550.0,6289.0,,
Population 514,96755391.0,2883532.0,49232.0,692.0,
Population 515,98899431.0,6604255.0,56413.0,,
Population 516,91935535.0,8237781.0,29458.0,,
Population 517,62126694.0,52565484.0,1166472.0,3649.0,
Population 518,19241371.0,94961443.0,1581262.0,6719.0,
Population 519,105691253.0,3832885.0,53981.0,,
Population 520,103708441.0,7131777.0,43408.0,,
Population 521,96744503.0,4388775.0,9729.0,,
Population 522,79229079.0,33196112.0,291910.0,383.0,
Population 523,91250184.0,2060549.0,112335.0,,
Population 524,110813311.0,1376891.0,7005.0,,
Population 525,58512348.0,1557704.0,1635.0,,
Population 526,69558845.0,20497206.0,25473432.0,82613.0,
Population 527,110185419.0,5442284.0,35966.0,151.0,
Population 528,104345364.0,2004593.0,17550.0,,
Population 529,89206967.0,8737835.0,402671.0,824.0,
Population 530,104466088.0,2183412.0,8920.0,,
Population 531,105097200.0,10331677.0,52332.0,,
Population 532,107589778.0,6161964.0,69060.0,,
Population 533,72790019.0,4941559.0,150886.0,189.0,
Population 534,112849460.0,2887968.0,11738.0,,
Population 535,88487678.0,5542065.0,57941.0,,
Population 536,92999373.0,2787131.0,3080.0,,
Population 537,71002934.0,8247704.0,158389.0,109.0,
