,1,2
Population 569,61.0,
Population 570,148.0,
Population 571,99.0,
Population 572,65.0,
Population 573,83.0,
Population 574,59.0,
Population 575,92.0,3.0
Population 576,82.0,
Population 577,50.0,
Population 578,87.0,
Population 579,63.0,
Population 580,65.0,
Population 581,48.0,
Population 582,296.0,3.0
Population 583,42.0,
Population 584,44.0,
Population 585,53.0,
Population 586,198.0,
Population 587,729.0,3.0
Population 588,47.0,
Population 589,54.0,
Population 590,1098.0,19.0
Population 591,50.0,
Population 592,84.0,
Population 593,74.0,
Population 594,71.0,
Population 595,73.0,
Population 596,86.0,
Population 597,92.0,
Population 598,67.0,
Population 599,34.0,
Population 600,316.0,
Population 601,612.0,1.0
Population 602,264.0,
Population 603,66.0,
Population 604,146.0,
Population 605,30.0,
Population 606,119.0,
Population 607,532.0,
Population 608,62.0,
Population 609,63.0,
Population 610,45.0,
Population 611,42.0,
Population 612,41.0,
Population 613,123.0,
Population 614,33.0,
Population 615,26.0,
Population 616,41.0,
Population 617,31.0,1.0
Population 618,37.0,
Population 619,59.0,
Population 620,72.0,
Population 621,51.0,
Population 622,188.0,
Population 623,92.0,
Population 624,108.0,
Population 625,25.0,
Population 626,127.0,
Population 627,242.0,
Population 628,28.0,
Population 629,167.0,
Population 630,49.0,
Population 631,287.0,
Population 632,273.0,
Population 633,31.0,
Population 634,244.0,
Population 635,167.0,3.0
Population 636,429.0,
Population 637,22.0,
Population 638,80.0,
Population 639,34.0,
Population 640,44.0,
Population 641,37.0,
Population 642,100.0,
Population 643,76.0,
Population 644,51.0,
Population 645,89.0,
Population 646,74.0,
Population 647,56.0,
Population 648,92.0,
Population 649,66.0,
Population 650,62.0,
Population 651,53.0,
Population 652,227.0,
Population 653,60.0,
Population 654,28.0,
Population 655,172.0,1.0
Population 656,730.0,
Population 657,216.0,1.0
Population 658,69.0,
Population 659,83.0,
Population 660,43.0,
Population 661,180.0,
Population 662,81.0,
Population 663,56.0,
Population 664,324.0,
Population 665,66.0,
Population 666,120.0,
Population 667,40.0,
Population 668,65.0,
Population 669,82.0,
Population 670,74.0,
Population 671,84.0,
Population 672,55.0,
Population 673,33.0,
Population 674,1294.0,
Population 675,68.0,
Population 676,102.0,
Population 677,49.0,
Population 678,78.0,
Population 679,27.0,
Population 680,76.0,1.0
Population 681,195.0,1.0
Population 682,54.0,
Population 683,35.0,
Population 684,41.0,
Population 685,3696.0,6.0
Population 686,123.0,
Population 687,29.0,
Population 688,95.0,
Population 689,285.0,
Population 690,293.0,2.0
Population 691,42.0,
Population 692,33.0,
Population 693,45.0,
Population 694,40.0,
Population 695,89.0,
Population 696,50.0,
Population 697,83.0,
Population 698,199.0,
Population 699,55.0,
Population 700,42.0,
Population 701,19.0,
Population 702,90.0,
Population 703,20.0,
Population 704,86.0,
Population 705,114.0,
Population 706,51.0,
Population 707,28.0,
Population 708,24.0,
Population 709,119.0,
Population 710,489.0,
Population 711,94.0,
Population 712,22.0,
Population 713,59.0,
Population 714,187.0,15.0
Population 715,113.0,
Population 716,23.0,
Population 717,167.0,
Population 718,102.0,3.0
Population 719,231.0,
Population 720,121.0,
Population 721,335.0,3.0
Population 722,33.0,
Population 723,38.0,
Population 724,32.0,
Population 725,75.0,
Population 726,29.0,
Population 727,127.0,
Population 728,52.0,
Population 729,158.0,1.0
Population 730,78.0,
Population 731,56.0,
Population 732,37.0,
Population 733,59.0,
Population 734,70.0,
Population 735,33.0,
Population 736,40.0,
Population 737,97.0,
Population 738,60.0,
Population 739,36.0,
Population 740,64.0,
Population 741,79.0,
Population 742,31.0,
Population 743,18.0,
Population 744,18.0,
Population 745,60.0,
Population 746,49.0,
Population 747,56.0,
Population 748,139.0,
Population 749,93.0,
Population 750,42.0,
Population 751,63.0,
Population 752,26.0,
Population 753,35.0,
Population 754,36.0,
Population 755,92.0,
Population 756,113.0,
Population 757,83.0,
Population 758,83.0,
Population 759,453.0,4.0
Population 760,43.0,
Population 761,80.0,1.0
Population 762,530.0,
Population 763,2131.0,4.0
Population 764,82.0,
